SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Predicted_Churn,CustomerID
0,1,0,1.3862943611198906,0,0,0,0,0,1,0,0,1,3.4307561839036995,0,0,0,0,0,1,0,0,9572-WUKSB
1,0,0,1.3862943611198906,0,0,0,0,1,0,0,1,1,3.7412346844478646,0,0,0,0,0,1,0,0,7273-TEFQD
0,1,1,4.127134385045092,1,1,0,0,0,0,0,0,1,3.2228678461377385,0,1,0,1,0,0,1,0,4018-PPNDW
0,0,0,2.0794415416798357,1,1,0,0,1,0,1,1,1,4.59562477314456,1,0,0,0,0,0,0,0,0655-RBDUG
0,1,1,0.6931471805599453,1,0,0,0,0,0,0,0,0,2.9856819377004897,0,1,1,0,0,0,1,0,2967-MXRAV
0,1,0,2.5649493574615367,1,0,1,1,1,0,0,0,1,4.449685283147696,1,0,0,0,0,1,0,0,1319-YLZJG
0,0,0,3.258096538021482,1,1,1,1,1,1,0,1,0,4.415824014257172,0,0,0,0,0,0,0,0,4002-BQWPQ
0,0,0,4.007333185232471,1,0,1,0,1,0,1,0,0,4.508659285607248,1,0,0,0,0,0,1,0,4402-FTBXC
1,1,0,4.060443010546419,1,0,0,1,1,0,1,0,1,4.517976974285714,1,0,1,0,0,1,0,0,5198-EFNBM
0,1,1,2.3978952727983707,1,0,0,1,1,0,0,1,1,4.203198967134183,0,0,1,0,0,0,1,0,7919-ZODZZ
1,0,0,1.791759469228055,1,0,0,0,1,0,0,0,1,4.337944122103693,1,0,0,0,1,0,0,0,0506-LVNGN
0,0,1,3.4011973816621555,0,0,1,1,1,1,0,0,1,3.828641396489095,0,0,0,0,0,0,1,0,0076-LVEPS
0,0,0,4.0943445622221,1,1,1,1,1,0,0,1,1,4.609660091260944,1,0,0,0,0,0,0,0,6627-CFOSN
0,0,0,3.970291913552122,1,0,0,0,0,0,0,0,0,3.075005454448499,0,1,1,0,0,0,1,0,8191-XWSZG
1,0,0,1.0986122886681098,1,0,0,1,0,0,0,0,1,4.3267781604434035,1,0,0,0,0,1,0,0,2761-OCIAX
0,1,1,4.248495242049359,1,0,0,1,0,1,1,0,1,4.5342110970475975,1,0,0,1,0,0,1,0,1063-DHQJF
0,1,0,3.6109179126442243,1,0,0,0,0,0,0,0,0,3.044522437723423,0,1,1,0,0,0,1,0,9824-QCJPK
0,0,1,2.772588722239781,1,0,0,0,0,0,0,0,0,4.248495242049359,1,0,0,0,0,0,0,0,6227-HWPWX
0,0,0,1.3862943611198906,1,0,0,0,0,0,1,1,0,4.51852237926242,1,0,0,0,0,0,1,0,0432-CAJZV
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,0,3.849083205654272,0,0,0,0,0,0,1,0,7054-LGEQW
0,0,0,3.871201010907891,1,0,1,0,1,1,1,1,1,4.651099117876491,1,0,1,0,0,1,0,0,2750-BJLSB
0,0,0,2.0794415416798357,1,0,0,0,1,0,0,0,1,4.3294166844015844,1,0,0,0,0,1,0,0,1475-VWVDO
0,0,0,3.2188758248682006,1,1,1,0,0,0,0,0,1,4.036891987474015,0,0,0,0,0,0,0,0,0733-VUNUW
0,1,1,3.2188758248682006,1,0,1,0,0,1,0,0,0,4.0280266811844525,0,0,0,0,0,1,0,0,9143-CANJF
1,0,0,1.0986122886681098,1,0,0,0,0,0,0,1,1,4.389498649512583,1,0,0,0,0,1,0,0,4713-LZDRV
0,0,0,3.713572066704308,1,0,0,0,0,0,0,0,0,3.0516399054922867,0,1,0,1,0,0,1,0,4735-BJKOU
0,1,1,3.828641396489095,1,0,1,0,0,1,0,0,0,4.019082077721554,0,0,0,1,0,0,0,0,1716-LSAMB
0,1,0,2.9444389791664403,1,1,0,1,0,0,0,0,0,4.056988775678332,0,0,0,0,1,0,0,0,2446-ZKVAF
0,0,0,1.9459101490553132,1,0,0,0,0,0,0,0,0,3.0516399054922867,0,1,0,0,0,0,0,0,7787-BNTZM
0,1,1,0.0,1,0,0,0,0,0,0,0,1,3.0301337002713233,0,1,1,0,0,0,1,0,2923-ARZLG
0,0,0,3.6109179126442243,1,1,0,1,1,0,1,1,1,4.661550519424199,1,0,1,0,0,0,0,0,4480-MBMLB
1,1,0,3.258096538021482,1,0,0,1,1,0,0,1,0,4.493120682179469,1,0,0,0,0,0,0,0,4526-ZJJTM
0,1,0,3.7612001156935624,1,1,0,0,1,1,1,1,1,4.674229721919586,1,0,0,0,0,0,0,0,7599-FKVXZ
0,1,1,3.044522437723423,1,0,0,0,0,0,1,1,1,4.513054897080286,1,0,0,0,0,1,0,0,6319-IEJWJ
1,0,0,1.3862943611198906,1,0,0,0,1,0,0,0,0,4.331391018705302,1,0,0,0,0,0,1,0,3966-HRMZA
0,1,1,2.9444389791664403,1,1,0,0,0,0,0,0,1,3.2445435716167785,0,1,0,1,1,0,0,0,9648-BCHKM
0,0,0,0.6931471805599453,1,0,0,0,1,1,0,0,0,4.026244149518169,0,0,0,0,0,0,1,0,3577-AMVUX
0,0,0,3.7376696182833684,1,1,1,1,1,1,1,0,1,4.677490847567717,1,0,0,0,0,1,0,0,9822-WMWVG
0,0,0,0.6931471805599453,1,1,0,0,0,0,0,0,1,4.324132656254979,1,0,0,0,0,1,0,0,4415-IJZTP
0,1,1,3.713572066704308,1,1,0,0,1,0,0,0,1,4.409155302062135,1,0,0,0,0,1,0,0,6080-TCMYC
0,0,0,1.0986122886681098,1,0,0,0,0,0,0,0,0,4.267597343922845,1,0,0,0,0,1,0,0,5442-BHQNG
0,1,1,3.4339872044851463,0,0,0,0,0,1,1,1,0,3.955082494888593,0,0,0,0,1,0,0,0,2091-MJTFX
0,0,0,1.0986122886681098,1,0,0,0,0,0,0,0,0,3.0155349008501706,0,1,0,0,0,0,1,0,2308-STERM
0,0,0,1.9459101490553132,1,0,0,0,0,0,0,0,0,3.054001181677967,0,1,0,0,0,0,1,0,5850-BDWCY
0,1,1,0.6931471805599453,1,0,0,0,1,0,0,0,0,3.9406104622800586,0,0,0,0,0,0,1,0,7250-EQKIY
1,1,0,4.204692619390966,1,1,0,1,1,1,1,1,1,4.692264892839025,1,0,1,0,1,0,0,0,6723-WSNTY
0,1,1,3.332204510175204,1,1,0,0,0,0,0,0,0,3.2386784521643803,0,1,0,1,0,1,0,0,3812-LRZIR
0,1,1,2.9444389791664403,1,0,0,0,1,0,0,1,0,4.068171687918078,0,0,0,0,0,1,0,0,4695-VADHF
1,1,0,4.276666119016055,1,0,0,1,1,0,0,1,0,4.504797211841304,1,0,0,1,1,0,0,0,6726-NNFWD
0,1,1,3.1780538303479458,1,1,0,0,0,0,0,1,0,4.461299815568389,1,0,0,0,0,1,0,0,7892-QVYKW
0,0,1,2.302585092994046,1,0,0,0,0,0,0,0,0,3.0633909220278057,0,1,0,0,0,0,1,0,8735-NBLWT
0,0,0,2.3978952727983707,1,0,0,0,0,0,0,0,1,3.086486636822455,0,1,0,0,0,0,1,0,3847-BAERP
0,1,1,4.290459441148391,1,0,0,1,1,0,1,1,1,4.335982696172475,0,0,0,1,0,0,0,0,4751-ERMAN
0,0,0,3.4657359027997265,1,1,1,0,1,1,0,0,0,4.193435464866331,0,0,0,0,1,0,0,0,2930-UOTMB
1,0,0,2.70805020110221,1,1,0,1,1,0,1,1,1,4.662022997580874,1,0,0,0,0,1,0,0,9221-OTIVJ
1,1,0,4.248495242049359,1,1,1,1,0,0,0,0,1,4.45318382899021,1,0,0,0,1,0,0,0,3865-ZYKAD
0,0,0,0.6931471805599453,1,0,0,0,1,0,1,0,1,4.4526015873434845,1,0,0,0,0,1,0,0,2202-CUYXZ
0,1,1,4.276666119016055,1,1,0,0,0,0,0,0,0,3.2714682749873716,0,1,0,1,1,0,0,0,0174-QRVVY
0,1,1,2.9444389791664403,1,0,0,0,0,0,1,0,0,4.0421736898931915,0,0,0,0,0,0,1,0,8930-XOTDP
0,1,0,4.0943445622221,1,1,1,1,1,1,1,1,0,4.7427558489406545,1,0,0,1,0,1,0,0,7663-CUXZB
0,0,0,3.5553480614894135,1,0,1,1,0,0,0,0,0,4.02535169073515,0,0,1,0,0,0,1,0,2188-SXWVT
0,0,0,4.23410650459726,1,1,1,1,1,0,0,1,1,4.355425952876702,0,0,1,0,1,0,0,0,3442-ZHHCC
0,1,1,2.772588722239781,1,0,0,0,0,0,0,0,0,3.013080911888604,0,1,0,1,0,0,1,0,2266-FUBDZ
0,0,0,1.6094379124341003,1,0,0,1,1,1,1,1,1,4.669552444917359,1,0,1,0,0,1,0,0,3932-CMDTD
0,1,0,2.1972245773362196,1,0,0,1,0,0,0,0,1,3.9229629454664803,0,0,0,0,0,0,0,0,3345-PBBFH
1,1,0,1.791759469228055,1,0,0,0,0,0,0,0,0,4.263383854543109,1,0,0,0,0,1,0,0,6705-LXORM
0,0,0,4.007333185232471,1,1,0,0,1,0,0,1,0,4.504244267398131,1,0,0,0,1,0,0,0,5136-GFPMB
0,0,0,3.1780538303479458,1,1,0,0,0,1,1,0,1,4.517431271680085,1,0,0,0,0,1,0,0,0376-YMCJC
1,1,0,3.6375861597263857,1,1,0,0,0,0,0,0,1,4.350277936359301,1,0,0,0,0,1,0,0,4846-WHAFZ
0,0,0,2.3978952727983707,1,0,1,1,1,1,1,1,1,4.7104306966455844,1,0,0,0,0,1,0,0,9851-KIELU
1,1,0,2.8903717578961645,1,0,0,1,0,0,0,0,1,4.349632566862877,1,0,0,0,0,1,0,0,2528-HFYZX
0,1,0,1.3862943611198906,1,0,0,0,1,1,0,0,1,4.039536325727106,0,0,0,0,0,0,1,0,7055-HNEOJ
0,1,1,4.290459441148391,1,1,1,1,1,1,0,1,0,4.406719247264253,0,0,0,1,1,0,0,0,9114-DPSIA
0,1,0,2.772588722239781,1,0,0,0,0,0,0,0,0,2.9856819377004897,0,1,1,0,0,0,1,0,6508-NJYRO
0,1,1,4.007333185232471,1,1,0,0,0,0,0,0,1,3.2208738275308737,0,1,0,1,0,0,0,0,3120-FAZKD
0,1,0,4.290459441148391,1,1,1,1,1,0,1,1,1,4.716264233493678,1,0,0,1,0,1,0,0,2272-WUSPA
1,1,0,4.07753744390572,1,1,0,1,0,0,1,1,1,4.593097604753822,1,0,1,0,0,0,0,0,2480-EJWYP
0,1,1,3.4011973816621555,1,0,0,0,0,0,0,0,0,3.044522437723423,0,1,1,0,0,1,0,0,4709-LKHYG
1,0,0,1.0986122886681098,1,1,0,1,0,0,0,1,0,4.505349850705881,1,0,0,0,0,1,0,0,5644-PDMZC
0,0,0,1.3862943611198906,0,0,0,0,0,0,1,0,0,3.5890591188317256,0,0,0,0,1,0,0,0,5759-RCVCB
1,1,0,3.258096538021482,1,1,1,0,0,0,0,1,1,4.500365071621965,1,0,1,0,0,1,0,0,6946-LMSQS
0,1,1,3.9889840465642745,1,0,0,0,1,0,0,1,0,4.120661870539474,0,0,1,0,1,0,0,0,9640-ZSLDC
1,1,0,3.5553480614894135,1,1,0,0,0,0,0,0,1,4.337944122103693,1,0,0,0,0,1,0,0,8695-ARGXZ
0,1,0,4.110873864173311,1,0,0,1,0,0,1,1,1,4.558078578454241,1,0,1,0,0,1,0,0,6270-OMFIW
0,1,1,4.060443010546419,1,0,1,0,0,0,1,1,1,4.264087336809195,0,0,1,0,0,0,0,0,2325-ZUSFD
0,1,1,1.9459101490553132,1,0,0,0,0,0,0,0,0,3.0301337002713233,0,1,1,0,0,0,1,0,7762-ONLJY
0,1,0,0.6931471805599453,0,0,0,0,0,0,0,0,1,3.250374491927572,0,0,0,0,0,1,0,0,1024-GUALD
0,0,0,2.0794415416798357,1,0,0,0,0,0,1,1,1,4.217299386280878,0,0,0,0,0,1,0,0,8160-HOWOX
0,1,0,3.044522437723423,1,0,1,1,0,1,1,0,1,4.5803650670691205,1,0,0,0,0,1,0,0,2604-IJPDU
0,0,0,2.3978952727983707,1,0,0,0,0,0,0,0,1,4.2626798770413155,1,0,0,0,0,1,0,0,2482-CZGBB
0,0,0,1.9459101490553132,1,0,0,1,0,0,0,1,1,4.447346100794524,1,0,0,0,0,1,0,0,7005-CCBKV
0,1,1,3.1354942159291497,1,0,0,0,0,0,0,1,1,4.396299293960601,1,0,0,0,0,1,0,0,9779-DPNEJ
0,0,0,3.295836866004329,1,1,0,0,1,0,1,1,1,4.598648968997826,1,0,0,0,0,1,0,0,4735-ASGMA
0,0,1,3.58351893845611,1,0,1,1,0,0,0,0,0,4.036008985209137,0,0,1,0,1,0,0,0,6693-DJWTY
1,0,0,2.8903717578961645,1,0,0,0,0,0,0,0,1,3.829727762701316,0,0,0,0,0,1,0,0,4690-LLKUA
0,1,0,4.07753744390572,0,0,0,0,0,0,1,1,1,3.828641396489095,0,0,1,0,1,0,0,0,6968-MHOMU
1,1,0,2.6390573296152584,0,0,0,0,0,0,1,1,0,3.835141961092188,0,0,0,0,0,1,0,0,0749-IRGQE
0,0,1,3.6888794541139363,1,1,0,0,0,1,1,1,0,4.620551288026394,1,0,0,1,0,0,1,0,7641-TQFHN
0,1,1,4.204692619390966,1,1,1,1,1,0,0,0,1,4.226103551734458,0,0,0,0,0,0,0,0,7520-HQWJU
1,0,0,3.8501476017100584,1,0,0,1,1,0,1,0,1,4.525044141508807,1,0,1,0,0,0,0,0,1707-HABPF
0,0,0,1.0986122886681098,0,0,0,0,0,0,0,0,1,3.254242968705492,0,0,0,0,1,0,0,0,9638-JIQYA
1,1,0,2.0794415416798357,1,1,0,0,1,0,1,1,1,4.634243433473799,1,0,0,0,0,1,0,0,8884-ADFVN
0,1,0,4.127134385045092,1,1,0,1,1,0,1,1,1,4.39197696552705,0,0,1,0,0,1,0,0,9107-UKCKY
0,0,0,2.5649493574615367,1,1,1,1,0,1,0,0,1,4.223177434065069,0,0,0,0,0,1,0,0,4672-FOTSD
0,1,0,2.3978952727983707,1,1,0,0,0,0,1,0,1,4.461299815568389,1,0,0,0,0,1,0,0,7249-WBIYX
0,0,0,2.5649493574615367,1,0,0,0,0,0,0,1,1,4.393831680123644,1,0,0,0,0,0,0,0,2187-PKZAY
0,0,0,3.8066624897703196,1,1,1,1,1,0,1,1,1,4.722953221644475,1,0,0,0,0,1,0,0,2587-EKXTS
1,1,0,3.332204510175204,1,1,0,0,0,0,0,0,1,4.33729074083249,1,0,0,0,0,1,0,0,1989-PRJHP
0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1,0,3.928880122494569,0,0,0,1,0,0,1,0,9928-BZVLZ
0,0,0,1.3862943611198906,1,1,0,0,0,0,0,0,0,4.330733340286331,1,0,0,0,0,0,1,0,8676-TRMJS
0,1,1,3.5263605246161616,1,0,0,1,1,1,1,1,0,4.420044701861403,0,0,0,1,1,0,0,0,1431-AIDJQ
0,0,0,3.4657359027997265,1,0,0,0,1,1,0,0,1,4.029806041084529,0,0,0,0,0,1,0,0,4701-MLJPN
1,1,0,3.713572066704308,1,0,1,1,1,1,1,0,1,4.5966338549658055,1,0,1,0,1,0,0,0,5996-NRVXR
0,1,0,4.0943445622221,1,1,0,0,0,0,0,1,0,4.4607222816222185,1,0,1,0,0,1,0,0,3313-QKNKB
0,1,1,3.871201010907891,1,0,1,1,1,0,0,1,1,4.575741375297279,1,0,1,0,0,1,0,0,5014-WUQMG
0,1,0,3.9512437185814275,1,0,0,0,0,0,0,0,0,4.25063580654847,1,0,0,0,0,0,1,0,9701-CDXHR
0,1,1,2.6390573296152584,1,0,0,0,0,0,0,0,0,3.044522437723423,0,1,1,0,0,0,1,0,4323-ELYYB
0,0,0,3.4965075614664802,1,1,0,0,0,0,0,1,1,4.4618770161616155,1,0,0,0,0,0,0,0,9944-AEXBM
0,0,0,2.3978952727983707,1,1,0,0,0,0,1,1,1,4.292512127466133,0,0,0,0,1,0,0,0,6331-LWDTQ
0,1,1,4.127134385045092,1,1,1,1,0,0,1,1,1,4.672828834461906,1,0,1,0,0,1,0,0,5469-CTCWN
1,0,0,0.6931471805599453,1,1,0,0,0,0,0,0,0,3.942552210462969,0,0,0,0,0,0,1,0,9058-CBREO
0,1,1,4.290459441148391,1,1,1,1,1,1,1,1,1,4.745366816481375,1,0,0,1,1,0,0,0,4376-KFVRS
0,0,0,0.6931471805599453,1,1,0,0,0,0,1,0,1,4.108411819433536,0,0,0,0,0,1,0,0,3877-JRJIP
0,1,0,4.110873864173311,1,1,0,1,1,0,1,1,1,4.674229721919586,1,0,0,0,0,1,0,0,6377-WHAOX
0,1,1,4.02535169073515,1,0,0,0,0,0,0,0,0,3.013080911888604,0,1,0,1,0,0,0,0,2075-PUEPR
1,1,0,3.5553480614894135,1,0,0,0,1,1,1,0,0,4.177459468932607,0,0,1,0,0,0,0,0,2522-WLNSF
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,1,4.2612704335380815,1,0,0,0,0,1,0,0,5542-TBBWB
0,0,1,3.258096538021482,1,0,0,1,0,0,1,1,1,4.5736795188967205,1,0,0,0,0,1,0,0,8393-DLHGA
0,1,1,3.970291913552122,1,0,1,0,1,1,0,0,1,4.44323931884187,1,0,0,0,0,0,0,0,7803-XOCCZ
0,1,1,4.127134385045092,1,1,0,0,1,0,1,1,1,4.6141299273595635,1,0,1,0,0,1,0,0,4937-QPZPO
1,0,0,2.0794415416798357,1,0,0,1,0,0,0,0,1,3.9569963710708773,0,0,0,0,0,0,1,0,5816-SCGFC
0,0,0,2.772588722239781,1,0,1,0,0,0,1,0,0,4.468204330914934,1,0,0,0,0,1,0,0,3540-RZJYU
1,1,1,4.23410650459726,1,1,0,1,1,0,0,0,1,4.450269224770129,1,0,0,0,0,1,0,0,4098-NAUKP
0,1,0,1.0986122886681098,0,0,0,0,0,0,0,1,1,3.586292865338835,0,0,0,0,0,1,0,0,2485-ITVKB
0,0,0,3.9318256327243257,0,0,1,1,0,0,0,0,1,3.58351893845611,0,0,0,0,0,0,1,0,8582-KRHPJ
0,0,0,1.6094379124341003,1,0,0,0,0,1,0,0,1,3.9473901492654373,0,0,0,0,0,0,1,0,6257-RJOHI
1,1,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,3.260017768199376,0,0,0,0,0,1,0,0,0616-ATFGB
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,0,3.0106208860477417,0,1,0,0,0,1,0,0,0761-AETCS
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,0,3.0325462466767075,0,1,0,0,0,0,1,0,3930-ZGWVE
0,1,1,1.791759469228055,1,0,1,0,1,0,0,1,1,4.514698282824016,1,0,0,0,0,0,1,0,8212-DJRCH
0,1,1,0.6931471805599453,1,0,1,0,0,0,0,0,1,3.907010463604602,0,0,0,0,0,0,1,0,5207-PLSTK
0,0,0,0.6931471805599453,0,0,0,0,0,0,0,1,1,3.5986811861957873,0,0,0,0,0,1,0,0,0841-NULXI
0,1,1,4.2626798770413155,1,0,0,0,0,0,0,0,0,3.0469005601283903,0,1,0,1,1,0,0,0,1403-GYAFU
0,0,1,3.5263605246161616,1,0,0,0,0,0,0,0,1,3.0516399054922867,0,1,1,0,0,0,1,0,5519-TEEUH
0,0,0,2.995732273553991,1,1,0,0,0,0,1,1,0,4.257030144499196,0,0,0,0,0,0,1,0,6429-SHBCB
0,1,0,3.713572066704308,1,1,0,0,0,1,0,0,1,4.380149874661021,1,0,0,0,1,0,0,0,2190-BCXEC
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,0,3.027715319407042,0,1,0,0,0,0,0,0,1194-SPVSP
0,1,1,4.07753744390572,1,0,0,0,0,0,0,0,1,3.8088822465086327,0,0,1,0,0,0,1,0,7636-PEPNS
1,0,0,3.4339872044851463,1,1,1,0,0,0,0,1,1,4.516338972281476,1,0,0,0,1,0,0,0,6741-EGCBI
0,0,0,4.219507705176107,1,0,1,0,1,1,0,1,1,4.295242504588991,0,0,1,0,0,0,0,0,9359-UGBTK
1,1,0,2.0794415416798357,1,1,0,0,0,0,0,0,1,4.32280727501391,1,0,0,0,0,0,1,0,8699-ASUFO
1,1,1,3.044522437723423,1,0,1,0,1,1,0,1,0,4.557029810660157,1,0,1,0,1,0,0,0,4332-MUOEZ
0,1,0,4.04305126783455,1,1,0,1,1,0,0,0,0,4.102643365036796,0,0,0,1,1,0,0,0,6681-ZSEXG
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,1,4.249922794040544,1,0,0,0,0,1,0,0,3716-BDVDB
0,1,1,4.1588830833596715,0,0,0,1,1,1,0,0,0,3.6975913947159578,0,0,0,1,0,0,0,0,2162-FRZAA
0,0,0,2.0794415416798357,1,1,0,0,0,0,0,0,0,4.336636932375072,1,0,0,0,0,0,1,0,7410-YTJIK
0,0,1,1.791759469228055,1,0,0,0,0,0,0,0,0,3.065724645374026,0,1,0,1,0,0,1,0,3717-FDJFU
0,0,0,2.0794415416798357,1,0,0,1,0,0,1,1,1,4.554403068934438,1,0,1,0,0,0,1,0,9979-RGMZT
0,1,1,1.791759469228055,1,1,1,0,1,0,0,0,1,4.448516375942715,1,0,0,0,0,1,0,0,4919-IKATY
0,1,1,4.2626798770413155,1,1,0,1,1,1,1,1,1,4.711330381816482,1,0,0,1,0,1,0,0,8707-HOEDG
0,1,1,4.219507705176107,1,1,1,1,1,1,0,0,1,4.253482783560398,0,0,1,0,1,0,0,0,6332-FBZRI
